cardno,maskedcardno
1168 0111 2614 3505,JJ<(XJJJ0<J'$PXP
1168 0111 2984 6963,JJ<(XJJJ0V('<V<$
1168 0110 7380 6625,JJ<(XJJXC$(X<<0P
1168 0111 1063 2059,JJ<(XJJJJX<$0XPV
1168 0110 9821 6297,JJ<(XJJXV(0J<0VC
1168 0111 4388 0972,JJ<(XJJJ'$((XVC0
1168 0111 4904 3435,JJ<(XJJJ'VX'$'$P
1168 0111 2024 2030,JJ<(XJJJ0X0'0X$X
1168 0110 4315 4254,JJ<(XJJX'$JP'0P'
1168 0111 2061 2398,JJ<(XJJJ0X<J0$V(
1168 0111 2920 2019,JJ<(XJJJ0V0X0XJV
1168 0111 4908 5881,JJ<(XJJJ'VX(P((J
1168 0110 3215 8373,JJ<(XJJX$0JP($C$
1168 0111 2627 1116,JJ<(XJJJ0<0CJJJ<
1168 0110 5724 8398,JJ<(XJJXPC0'($V(
1168 0110 5772 4851,JJ<(XJJXPCC0'(PJ
1168 0111 3147 6742,JJ<(XJJJ$J'C<C'0
1168 0110 5223 0284,JJ<(XJJXP00$X0('
1168 0111 3729 7613,JJ<(XJJJ$C0VC<J$
1168 0110 7875 5793,JJ<(XJJXC(CPPCV$
1168 0111 1718 9434,JJ<(XJJJJCJ(V'$'
1168 0110 2342 1756,JJ<(XJJX0$'0JCP<
1168 0110 5287 2986,JJ<(XJJXP0(C0V(<
1168 0110 8424 7397,JJ<(XJJX('0'C$VC
1168 0110 4341 0540,JJ<(XJJX'$'JXP'X
1168 0110 6423 9406,JJ<(XJJX<'0$V'X<
1168 0110 5298 7198,JJ<(XJJXP0V(CJV(
1168 0110 9214 5807,JJ<(XJJXV0J'P(XC
1168 0111 2024 2055,JJ<(XJJJ0X0'0XPP
1168 0111 2621 4306,JJ<(XJJJ0<0J'$X<
1168 0111 2041 6675,JJ<(XJJJ0X'J<<CP
1168 0110 1201 2459,JJ<(XJJXJ0XJ0'PV
1168 0110 5157 7792,JJ<(XJJXPJPCCCV0
1168 0110 9503 4164,JJ<(XJJXVPX$'J<'
1168 0111 1487 8443,JJ<(XJJJJ'(C(''$
1168 0111 5239 6092,JJ<(XJJJP0$V<XV0
1168 0111 4349 8254,JJ<(XJJJ'$'V(0P'
1168 0111 0845 1918,JJ<(XJJJX('PJVJ(
1168 0110 7398 3812,JJ<(XJJXC$V($(J0
1168 0110 7083 2236,JJ<(XJJXCX($00$<
1168 0111 4950 5250,JJ<(XJJJ'VPXP0PX
1168 0110 6135 3143,JJ<(XJJX<J$P$J'$
1168 0111 1060 9438,JJ<(XJJJJX<XV'$(
1168 0111 3217 5079,JJ<(XJJJ$0JCPXCV
1168 0111 2901 5809,JJ<(XJJJ0VXJP(XV
1168 0111 3757 8715,JJ<(XJJJ$CPC(CJP
1168 0111 1629 4524,JJ<(XJJJJ<0V'P0'
1168 0111 1726 9103,JJ<(XJJJJC0<VJX$
1168 0111 5219 9132,JJ<(XJJJP0JVVJ$0
1168 0111 2304 6792,JJ<(XJJJ0$X'<CV0
1168 0111 1701 9904,JJ<(XJJJJCXJVVX'
1168 0111 4667 6005,JJ<(XJJJ'<<C<XXP
1168 0110 7681 6191,JJ<(XJJXC<(J<JVJ
1168 0111 2059 1469,JJ<(XJJJ0XPVJ'<V
1168 0111 2931 5530,JJ<(XJJJ0V$JPP$X
1168 0111 4921 5975,JJ<(XJJJ'V0JPVCP
1168 0110 3887 0203,JJ<(XJJX$((CX0X$
1168 0110 4369 9514,JJ<(XJJX'$<VVPJ'
1168 0110 7645 0942,JJ<(XJJXC<'PXV'0
1168 0111 4048 2640,JJ<(XJJJ'X'(0<'X
1168 0110 8409 1522,JJ<(XJJX('XVJP00
1168 0111 5222 3551,JJ<(XJJJP000$PPJ
1168 0110 7398 9066,JJ<(XJJXC$V(VX<<
1168 0110 7333 8694,JJ<(XJJXC$$$(<V'
1168 0110 6638 0810,JJ<(XJJX<<$(X(JX
1168 0111 4349 1390,JJ<(XJJJ'$'VJ$VX
1168 0111 4621 3957,JJ<(XJJJ'<0J$VPC
1168 0111 0895 8003,JJ<(XJJJX(VP(XX$
1168 0110 6750 0200,JJ<(XJJX<CPXX0XX
1168 0110 7348 9653,JJ<(XJJXC$'(V<P$
1168 0110 7397 2583,JJ<(XJJXC$VC0P($
1168 0110 6787 9778,JJ<(XJJX<C(CVCC(
1168 0111 4675 0891,JJ<(XJJJ'<CPX(VJ
1168 0111 4675 8084,JJ<(XJJJ'<CP(X('
1168 0110 7365 3597,JJ<(XJJXC$<P$PVC
1168 0111 2695 9926,JJ<(XJJJ0<VPVV0<
1168 0111 4959 5848,JJ<(XJJJ'VPVP('(
1168 0111 2623 8800,JJ<(XJJJ0<0$((XX
1168 0111 4932 7218,JJ<(XJJJ'V$0C0J(
1168 0110 7259 2051,JJ<(XJJXC0PV0XPJ
1168 0111 2986 2218,JJ<(XJJJ0V(<00J(
1168 0111 2823 0417,JJ<(XJJJ0(0$X'JC
1168 0110 7361 6842,JJ<(XJJXC$<J<('0
1168 0110 7847 6531,JJ<(XJJXC('C<P$J
1168 0111 5237 3976,JJ<(XJJJP0$C$VC<
1168 0111 3760 3851,JJ<(XJJJ$C<X$(PJ
1168 0111 4072 9719,JJ<(XJJJ'XC0VCJV
1168 0111 2058 7905,JJ<(XJJJ0XP(CVXP
1168 0110 7854 2837,JJ<(XJJXC(P'0($C
1168 0111 0474 7285,JJ<(XJJJX'C'C0(P
1168 0111 3191 6903,JJ<(XJJJ$JVJ<VX$
1168 0110 4831 6528,JJ<(XJJX'($J<P0(
1168 0111 1761 7780,JJ<(XJJJJC<JCC(X
1168 0111 2822 0244,JJ<(XJJJ0(00X0''
1168 0110 6451 6324,JJ<(XJJX<'PJ<$0'
1168 0110 8454 4843,JJ<(XJJX('P''('$
1168 0111 5282 9886,JJ<(XJJJP0(0V((<
1168 0111 1722 2177,JJ<(XJJJJC000JCC
1168 0111 4354 2424,JJ<(XJJJ'$P'0'0'
1168 0111 3468 5489,JJ<(XJJJ$'<(P'(V
1168 0110 9015 4355,JJ<(XJJXVXJP'$PP
1168 0111 1468 8313,JJ<(XJJJJ'<(($J$
1168 0110 3887 1771,JJ<(XJJX$((CJCCJ
1168 0110 8676 0371,JJ<(XJJX(<C<X$CJ
1168 0111 2034 7789,JJ<(XJJJ0X$'CC(V
1168 0111 1602 5076,JJ<(XJJJJ<X0PXC<
1168 0111 0412 4550,JJ<(XJJJX'J0'PPX
1168 0110 8309 4014,JJ<(XJJX($XV'XJ'
1168 0111 4932 8042,JJ<(XJJJ'V$0(X'0
1168 0110 9697 7676,JJ<(XJJXV<VCC<C<
1168 0110 2750 0662,JJ<(XJJX0CPXX<<0
1168 0111 4380 4279,JJ<(XJJJ'$(X'0CV
1168 0111 4998 5429,JJ<(XJJJ'VV(P'0V
1168 0110 7040 9563,JJ<(XJJXCX'XVP<$
1168 0111 1366 2285,JJ<(XJJJJ$<<00(P
1168 0111 5242 9869,JJ<(XJJJP0'0V(<V
1168 0111 3144 7461,JJ<(XJJJ$J''C'<J
1168 0111 1727 8856,JJ<(XJJJJC0C((P<
1168 0110 9379 0288,JJ<(XJJXV$CVX0((
1168 0111 2670 4496,JJ<(XJJJ0<CX''V<
1168 0111 1457 5171,JJ<(XJJJJ'PCPJCJ
1168 0111 1452 4476,JJ<(XJJJJ'P0''C<
1168 0110 2318 1095,JJ<(XJJX0$J(JXVP
1168 0111 4605 7032,JJ<(XJJJ'<XPCX$0
1168 0111 2334 9188,JJ<(XJJJ0$$'VJ((
1168 0111 5224 4128,JJ<(XJJJP00''J0(
1168 0111 2694 5115,JJ<(XJJJ0<V'PJJP
1168 0111 0107 3099,JJ<(XJJJXJXC$XVV
1168 0110 6114 6323,JJ<(XJJX<JJ'<$0$
1168 0110 6061 1624,JJ<(XJJX<X<JJ<0'
1168 0110 1167 1057,JJ<(XJJXJJ<CJXPC
1168 0110 6638 1370,JJ<(XJJX<<$(J$CX
1168 0110 9677 8462,JJ<(XJJXV<CC('<0
1168 0110 9619 1534,JJ<(XJJXV<JVJP$'
1168 0110 7386 8567,JJ<(XJJXC$(<(P<C
1168 0111 2966 1917,JJ<(XJJJ0V<<JVJC
1168 0111 2966 7047,JJ<(XJJJ0V<<CX'C
1168 0111 3231 6327,JJ<(XJJJ$0$J<$0C
1168 0110 4381 0566,JJ<(XJJX'$(JXP<<
1168 0110 3541 9384,JJ<(XJJX$P'JV$('
1168 0111 4080 1237,JJ<(XJJJ'X(XJ0$C
1168 0110 8136 1167,JJ<(XJJX(J$<JJ<C
1168 0110 3724 4749,JJ<(XJJX$C0''C'V
1168 0111 1304 9749,JJ<(XJJJJ$X'VC'V
1168 0111 4946 2734,JJ<(XJJJ'V'<0C$'
1168 0110 4831 9571,JJ<(XJJX'($JVPCJ
1168 0110 2915 3221,JJ<(XJJX0VJP$00J
1168 0111 2603 9778,JJ<(XJJJ0<X$VCC(
1168 0110 6787 2328,JJ<(XJJX<C(C0$0(
1168 0111 2326 0831,JJ<(XJJJ0$0<X($J
1168 0111 2936 1583,JJ<(XJJJ0V$<JP($
1168 0111 3491 6553,JJ<(XJJJ$'VJ<PP$
1168 0110 9634 9249,JJ<(XJJXV<$'V0'V
1168 0111 2014 4061,JJ<(XJJJ0XJ''X<J
1168 0110 7701 4879,JJ<(XJJXCCXJ'(CV
1168 0110 7361 6958,JJ<(XJJXC$<J<VP(
1168 0111 2502 2650,JJ<(XJJJ0PX00<PX
1168 0110 9630 3055,JJ<(XJJXV<$X$XPP
1168 0111 0566 6310,JJ<(XJJJXP<<<$JX
1168 0110 5882 4478,JJ<(XJJXP((0''C(
1168 0110 9848 2626,JJ<(XJJXV('(0<0<
1168 0110 7000 1816,JJ<(XJJXCXXXJ(J<
1168 0111 2202 2760,JJ<(XJJJ00X00C<X
1168 0111 1782 7033,JJ<(XJJJJC(0CX$$
1168 0111 4008 1269,JJ<(XJJJ'XX(J0<V
1168 0111 2328 2199,JJ<(XJJJ0$0(0JVV
1168 0110 9621 6687,JJ<(XJJXV<0J<<(C
1168 0110 7342 5525,JJ<(XJJXC$'0PP0P
1168 0111 0768 8809,JJ<(XJJJXC<(((XV
1168 0110 9683 5098,JJ<(XJJXV<($PXV(
1168 0110 9381 8329,JJ<(XJJXV$(J($0V
1168 0111 4078 9994,JJ<(XJJJ'XC(VVV'
1168 0111 5240 2817,JJ<(XJJJP0'X0(JC
1168 0110 7396 3889,JJ<(XJJXC$V<$((V
1168 0111 3242 5417,JJ<(XJJJ$0'0P'JC
1168 0111 1484 7992,JJ<(XJJJJ'('CVV0
1168 0111 1310 0468,JJ<(XJJJJ$JXX'<(
1168 0111 4339 1251,JJ<(XJJJ'$$VJ0PJ
1168 0110 6844 7336,JJ<(XJJX<(''C$$<
1168 0111 2621 8075,JJ<(XJJJ0<0J(XCP
1168 0110 9822 6494,JJ<(XJJXV(00<'V'
1168 0111 0455 4277,JJ<(XJJJX'PP'0CC
1168 0110 7328 0235,JJ<(XJJXC$0(X0$P
1168 0110 5386 3893,JJ<(XJJXP$(<$(V$
1168 0111 4902 4476,JJ<(XJJJ'VX0''C<
1168 0110 7012 7991,JJ<(XJJXCXJ0CVVJ
1168 0111 4644 0949,JJ<(XJJJ'<''XV'V
1168 0110 6662 2872,JJ<(XJJX<<<00(C0
1168 0111 3236 9839,JJ<(XJJJ$0$<V($V
1168 0110 8455 0097,JJ<(XJJX('PPXXVC
1168 0110 7333 1046,JJ<(XJJXC$$$JX'<
1168 0110 9378 9108,JJ<(XJJXV$C(VJX(
1168 0111 3744 7549,JJ<(XJJJ$C''CP'V
1168 0111 2806 8882,JJ<(XJJJ0(X<(((0
1168 0110 5861 2428,JJ<(XJJXP(<J0'0(
1168 0110 4874 1030,JJ<(XJJX'(C'JX$X
1168 0111 3441 1548,JJ<(XJJJ$''JJP'(
1168 0111 2978 9676,JJ<(XJJJ0VC(V<C<
1168 0110 7003 7422,JJ<(XJJXCXX$C'00
1168 0111 1374 4711,JJ<(XJJJJ$C''CJJ
1168 0110 1857 3785,JJ<(XJJXJ(PC$C(P
1168 0110 5037 1783,JJ<(XJJXPX$CJC($
1168 0111 2039 3924,JJ<(XJJJ0X$V$V0'
1168 0110 6436 8437,JJ<(XJJX<'$<('$C
1168 0110 7309 0394,JJ<(XJJXC$XVX$V'
1168 0111 2693 3863,JJ<(XJJJ0<V$$(<$
1168 0111 2363 5065,JJ<(XJJJ0$<$PX<P
1168 0110 8753 2316,JJ<(XJJX(CP$0$J<
1168 0110 5069 5512,JJ<(XJJXPX<VPPJ0
1168 0110 6498 1163,JJ<(XJJX<'V(JJ<$
1168 0111 3104 2536,JJ<(XJJJ$JX'0P$<
1168 0110 6436 8429,JJ<(XJJX<'$<('0V
1168 0111 4339 1244,JJ<(XJJJ'$$VJ0''
1168 0110 5356 8195,JJ<(XJJXP$P<(JVP
1168 0110 5276 3722,JJ<(XJJXP0C<$C00
1168 0111 1343 2267,JJ<(XJJJJ$'$00<C
1168 0111 2511 6478,JJ<(XJJJ0PJJ<'C(
1168 0111 1717 0715,JJ<(XJJJJCJCXCJP
1168 0110 4496 0535,JJ<(XJJX''V<XP$P
1168 0110 6702 5091,JJ<(XJJX<CX0PXVJ
1168 0111 2233 0726,JJ<(XJJJ00$$XC0<
1168 0110 7417 7240,JJ<(XJJXC'JCC0'X
1168 0111 2390 4305,JJ<(XJJJ0$VX'$XP
1168 0111 3470 9578,JJ<(XJJJ$'CXVPC(
1168 0110 6793 9747,JJ<(XJJX<CV$VC'C
1168 0110 8327 3261,JJ<(XJJX($0C$0<J
1168 0111 2872 9103,JJ<(XJJJ0(C0VJX$
1168 0111 2092 4330,JJ<(XJJJ0XV0'$$X
1168 0110 6638 7963,JJ<(XJJX<<$(CV<$
1168 0111 2321 9019,JJ<(XJJJ0$0JVXJV
1168 0111 1016 4822,JJ<(XJJJJXJ<'(00
1168 0111 1153 5699,JJ<(XJJJJJP$P<VV
1168 0110 6187 3702,JJ<(XJJX<J(C$CX0
1168 0111 1372 9183,JJ<(XJJJJ$C0VJ($
1168 0111 0505 5159,JJ<(XJJJXPXPPJPV
1168 0110 7271 3871,JJ<(XJJXC0CJ$(CJ
1168 0110 7028 1640,JJ<(XJJXCX0(J<'X
1168 0111 0828 6397,JJ<(XJJJX(0(<$VC
1168 0110 8697 1127,JJ<(XJJX(<VCJJ0C
1168 0111 1077 4109,JJ<(XJJJJXCC'JXV
1168 0111 0871 3242,JJ<(XJJJX(CJ$0'0
1168 0110 7307 3325,JJ<(XJJXC$XC$$0P
1168 0111 3763 7594,JJ<(XJJJ$C<$CPV'
1168 0111 2363 3169,JJ<(XJJJ0$<$$J<V
1168 0111 4031 1740,JJ<(XJJJ'X$JJC'X
1168 0110 9823 5479,JJ<(XJJXV(0$P'CV
1168 0111 2319 1952,JJ<(XJJJ0$JVJVP0
1168 0111 2234 0790,JJ<(XJJJ00$'XCVX
1168 0111 3757 0902,JJ<(XJJJ$CPCXVX0
1168 0111 2090 9042,JJ<(XJJJ0XVXVX'0
1168 0110 2362 6362,JJ<(XJJX0$<0<$<0
1168 0110 5593 4684,JJ<(XJJXPPV$'<('
1168 0111 4005 2096,JJ<(XJJJ'XXP0XV<
1168 0111 4096 9604,JJ<(XJJJ'XV<V<X'
1168 0111 2367 1995,JJ<(XJJJ0$<CJVVP
1168 0111 4354 3968,JJ<(XJJJ'$P'$V<(
1168 0111 1975 7840,JJ<(XJJJJVCPC('X
1168 0111 1933 9508,JJ<(XJJJJV$$VPX(
1168 0111 0287 7217,JJ<(XJJJX0(CC0JC
1168 0110 4814 6313,JJ<(XJJX'(J'<$J$
1168 0110 9620 7322,JJ<(XJJXV<0XC$00
1168 0111 4039 3094,JJ<(XJJJ'X$V$XV'
1168 0111 4036 5183,JJ<(XJJJ'X$<PJ($
1168 0111 1003 8349,JJ<(XJJJJXX$($'V
1168 0110 7864 5853,JJ<(XJJXC(<'P(P$
1168 0111 1743 7643,JJ<(XJJJJC'$C<'$
1168 0111 2093 6755,JJ<(XJJJ0XV$<CPP
1168 0110 7078 3264,JJ<(XJJXCXC($0<'
1168 0110 7003 3462,JJ<(XJJXCXX$$'<0
1168 0110 6871 2606,JJ<(XJJX<(CJ0<X<
1168 0110 6453 7734,JJ<(XJJX<'P$CC$'
1168 0110 7361 7667,JJ<(XJJXC$<JC<<C
1168 0111 3713 0632,JJ<(XJJJ$CJ$X<$0
1168 0111 3222 2590,JJ<(XJJJ$0000PVX
1168 0110 8467 0044,JJ<(XJJX('<CXX''
1168 0110 1259 9323,JJ<(XJJXJ0PVV$0$
1168 0111 2529 8615,JJ<(XJJJ0P0V(<JP
1168 0110 8115 0131,JJ<(XJJX(JJPXJ$J
1168 0110 7626 0390,JJ<(XJJXC<0<X$VX
1168 0110 9972 3085,JJ<(XJJXVVC0$X(P
1168 0110 7363 0413,JJ<(XJJXC$<$X'J$
1168 0111 2510 0837,JJ<(XJJJ0PJXX($C
1168 0111 4073 7043,JJ<(XJJJ'XC$CX'$
1168 0110 7352 2255,JJ<(XJJXC$P000PP
1168 0110 8452 8937,JJ<(XJJX('P0(V$C
1168 0111 2860 4389,JJ<(XJJJ0(<X'$(V
1168 0111 4950 5359,JJ<(XJJJ'VPXP$PV
1168 0110 6410 4493,JJ<(XJJX<'JX''V$
1168 0111 4928 4773,JJ<(XJJJ'V0('CC$
1168 0111 2007 1777,JJ<(XJJJ0XXCJCCC
1168 0111 2578 1552,JJ<(XJJJ0PC(JPP0
1168 0111 4988 2253,JJ<(XJJJ'V((00P$
1168 0110 9871 4333,JJ<(XJJXV(CJ'$$$
1168 0111 2810 5346,JJ<(XJJJ0(JXP$'<
1168 0111 4622 9763,JJ<(XJJJ'<00VC<$
1168 0110 6761 3391,JJ<(XJJX<C<J$$VJ
1168 0111 3211 5802,JJ<(XJJJ$0JJP(X0
1168 0111 0752 6850,JJ<(XJJJXCP0<(PX
1168 0111 0882 5848,JJ<(XJJJX((0P('(
1168 0110 7655 7837,JJ<(XJJXC<PPC($C
1168 0110 7078 7208,JJ<(XJJXCXC(C0X(
1168 0111 4624 2758,JJ<(XJJJ'<0'0CP(
1168 0111 4915 2004,JJ<(XJJJ'VJP0XX'
1168 0111 2371 2567,JJ<(XJJJ0$CJ0P<C
1168 0111 4903 9037,JJ<(XJJJ'VX$VX$C
1168 0111 4983 9337,JJ<(XJJJ'V($V$$C
1168 0111 3419 5786,JJ<(XJJJ$'JVPC(<
1168 0110 4502 6807,JJ<(XJJX'PX0<(XC
1168 0110 8122 6766,JJ<(XJJX(J00<C<<
1168 0111 2992 7235,JJ<(XJJJ0VV0C0$P
1168 0111 2058 2922,JJ<(XJJJ0XP(0V00
1168 0111 2972 6801,JJ<(XJJJ0VC0<(XJ
1168 0111 2091 8308,JJ<(XJJJ0XVJ($X(
1168 0110 7664 9329,JJ<(XJJXC<<'V$0V
1168 0111 3211 5877,JJ<(XJJJ$0JJP(CC
1168 0110 3349 9586,JJ<(XJJX$$'VVP(<
1168 0111 2335 5243,JJ<(XJJJ0$$PP0'$
1168 0110 5762 6510,JJ<(XJJXPC<0<PJX
1168 0111 4630 2727,JJ<(XJJJ'<$X0C0C
1168 0110 6406 4101,JJ<(XJJX<'X<'JXJ
1168 0111 1378 4071,JJ<(XJJJJ$C('XCJ
1168 0111 3445 7806,JJ<(XJJJ$''PC(X<
1168 0111 1490 8463,JJ<(XJJJJ'VX('<$
1168 0110 9604 2760,JJ<(XJJXV<X'0C<X
1168 0111 0139 2424,JJ<(XJJJXJ$V0'0'
1168 0111 0513 8815,JJ<(XJJJXPJ$((JP
1168 0111 4031 1757,JJ<(XJJJ'X$JJCPC
1168 0111 0168 8326,JJ<(XJJJXJ<(($0<
1168 0110 6551 7552,JJ<(XJJX<PPJCPP0
1168 0111 4098 1989,JJ<(XJJJ'XV(JV(V
1168 0110 6400 8595,JJ<(XJJX<'XX(PVP
1168 0110 6797 2169,JJ<(XJJX<CVC0J<V
1168 0111 3476 1330,JJ<(XJJJ$'C<J$$X
1168 0111 1766 0277,JJ<(XJJJJC<<X0CC
1168 0110 9906 5768,JJ<(XJJXVVX<PC<(
1168 0111 4096 9398,JJ<(XJJJ'XV<V$V(
1168 0110 6719 9201,JJ<(XJJX<CJVV0XJ
1168 0110 7330 6311,JJ<(XJJXC$$X<$JJ
1168 0111 3436 8375,JJ<(XJJJ$'$<($CP
1168 0111 3445 0660,JJ<(XJJJ$''PX<<X
1168 0111 4313 6060,JJ<(XJJJ'$J$<X<X
1168 0111 1144 1047,JJ<(XJJJJJ''JX'C
1168 0110 7283 9320,JJ<(XJJXC0($V$0X
1168 0110 1989 7977,JJ<(XJJXJV(VCVCC
1168 0110 5544 2779,JJ<(XJJXPP''0CCV
1168 0110 7075 5403,JJ<(XJJXCXCPP'X$
1168 0111 0513 8807,JJ<(XJJJXPJ$((XC
1168 0110 9052 0258,JJ<(XJJXVXP0X0P(
1168 0110 5788 1982,JJ<(XJJXPC((JV(0
1168 0111 4313 5609,JJ<(XJJJ'$J$P<XV
1168 0111 0542 7440,JJ<(XJJJXP'0C''X
1168 0110 7021 3569,JJ<(XJJXCX0J$P<V
1168 0111 2085 3703,JJ<(XJJJ0X(P$CX$
1168 0110 3350 3643,JJ<(XJJX$$PX$<'$
1168 0110 3961 3032,JJ<(XJJX$V<J$X$0
1168 0111 0559 9297,JJ<(XJJJXPPVV0VC
1168 0111 1785 1272,JJ<(XJJJJC(PJ0C0
1168 0111 2692 1611,JJ<(XJJJ0<V0J<JJ
1168 0110 9674 6410,JJ<(XJJXV<C'<'JX
1168 0110 7600 5027,JJ<(XJJXC<XXPX0C
1168 0110 6791 4567,JJ<(XJJX<CVJ'P<C
1168 0111 3420 2996,JJ<(XJJJ$'0X0VV<
1168 0111 4607 7873,JJ<(XJJJ'<XCC(C$
1168 0110 7617 9400,JJ<(XJJXC<JCV'XX
1168 0111 0204 6136,JJ<(XJJJX0X'<J$<
1168 0110 1146 2838,JJ<(XJJXJJ'<0($(
1168 0110 6452 8816,JJ<(XJJX<'P0((J<
1168 0111 1061 8983,JJ<(XJJJJX<J(V($
1168 0111 4691 9009,JJ<(XJJJ'<VJVXXV
1168 0110 8703 4370,JJ<(XJJX(CX$'$CX
1168 0111 2935 8290,JJ<(XJJJ0V$P(0VX
1168 0110 9516 8517,JJ<(XJJXVPJ<(PJC
1168 0111 3790 6940,JJ<(XJJJ$CVX<V'X
1168 0110 5229 4686,JJ<(XJJXP00V'<(<
1168 0111 2801 6824,JJ<(XJJJ0(XJ<(0'
1168 0110 7668 4425,JJ<(XJJXC<<(''0P
1168 0111 4304 1633,JJ<(XJJJ'$X'J<$$
1168 0111 4623 4581,JJ<(XJJJ'<0$'P(J
1168 0111 0112 6384,JJ<(XJJJXJJ0<$('
1168 0111 0514 1801,JJ<(XJJJXPJ'J(XJ
1168 0111 1152 1582,JJ<(XJJJJJP0JP(0
1168 0110 7854 6077,JJ<(XJJXC(P'<XCC
1168 0111 4649 8426,JJ<(XJJJ'<'V('0<
1168 0110 7317 0238,JJ<(XJJXC$JCX0$(
1168 0110 7029 4957,JJ<(XJJXCX0V'VPC
1168 0110 9929 6942,JJ<(XJJXVV0V<V'0
1168 0111 4316 4336,JJ<(XJJJ'$J<'$$<
1168 0110 7405 5529,JJ<(XJJXC'XPPP0V
1168 0111 4354 4461,JJ<(XJJJ'$P'''<J
1168 0111 2318 7786,JJ<(XJJJ0$J(CC(<
1168 0111 0794 7312,JJ<(XJJJXCV'C$J0
1168 0111 3415 4726,JJ<(XJJJ$'JP'C0<
1168 0111 0895 7302,JJ<(XJJJX(VPC$X0
1168 0111 2098 7865,JJ<(XJJJ0XV(C(<P
1168 0110 7003 7299,JJ<(XJJXCXX$C0VV
1168 0111 4901 9195,JJ<(XJJJ'VXJVJVP
1168 0110 3567 3782,JJ<(XJJX$P<C$C(0
1168 0111 5203 5971,JJ<(XJJJP0X$PVCJ
1168 0110 5590 3903,JJ<(XJJXPPVX$VX$
1168 0110 4803 6654,JJ<(XJJX'(X$<<P'
1168 0110 5413 5341,JJ<(XJJXP'J$P$'J
1168 0110 7330 3979,JJ<(XJJXC$$X$VCV
1168 0110 4366 8840,JJ<(XJJX'$<<(('X
1168 0110 6711 4358,JJ<(XJJX<CJJ'$P(
1168 0110 7026 4968,JJ<(XJJXCX0<'V<(
1168 0110 7306 5024,JJ<(XJJXC$X<PX0'
1168 0110 5728 9509,JJ<(XJJXPC0(VPXV
1168 0111 1320 4120,JJ<(XJJJJ$0X'J0X
1168 0110 5712 4953,JJ<(XJJXPCJ0'VP$
1168 0110 8694 8588,JJ<(XJJX(<V'(P((
1168 0111 4043 8816,JJ<(XJJJ'X'$((J<
1168 0111 2214 6924,JJ<(XJJJ00J'<V0'
1168 0110 7141 3317,JJ<(XJJXCJ'J$$JC
1168 0110 6666 9865,JJ<(XJJX<<<<V(<P
1168 0111 2872 4963,JJ<(XJJJ0(C0'V<$
1168 0110 6845 1320,JJ<(XJJX<('PJ$0X
1168 0110 8085 7728,JJ<(XJJX(X(PCC0(
1168 0111 0797 2781,JJ<(XJJJXCVC0C(J
1168 0110 4016 4827,JJ<(XJJX'XJ<'(0C
1168 0110 3292 3685,JJ<(XJJX$0V0$<(P
1168 0110 9013 0165,JJ<(XJJXVXJ$XJ<P
1168 0110 2893 8515,JJ<(XJJX0(V$(PJP
1168 0111 1441 3076,JJ<(XJJJJ''J$XC<
1168 0110 6516 0320,JJ<(XJJX<PJ<X$0X
1168 0111 4630 2511,JJ<(XJJJ'<$X0PJJ
1168 0110 6714 2920,JJ<(XJJX<CJ'0V0X
1168 0110 0991 8288,JJ<(XJJXXVVJ(0((
1168 0111 2003 9774,JJ<(XJJJ0XX$VCC'
1168 0110 3542 8435,JJ<(XJJX$P'0('$P
1168 0111 3763 3106,JJ<(XJJJ$C<$$JX<
1168 0111 1776 8575,JJ<(XJJJJCC<(PCP
1168 0110 4575 1446,JJ<(XJJX'PCPJ''<
1168 0111 0855 0529,JJ<(XJJJX(PPXP0V
1168 0110 9928 5325,JJ<(XJJXVV0(P$0P
1168 0111 3408 4733,JJ<(XJJJ$'X('C$$
1168 0110 8134 6184,JJ<(XJJX(J$'<J('
1168 0111 2203 0102,JJ<(XJJJ00X$XJX0
1168 0111 4316 2744,JJ<(XJJJ'$J<0C''
1168 0111 2058 8861,JJ<(XJJJ0XP(((<J
1168 0111 3439 6038,JJ<(XJJJ$'$V<X$(
1168 0111 4040 4867,JJ<(XJJJ'X'X'(<C
1168 0110 3306 4539,JJ<(XJJX$$X<'P$V
1168 0111 1072 4328,JJ<(XJJJJXC0'$0(
1168 0111 2544 6974,JJ<(XJJJ0P''<VC'
1168 0111 4068 6299,JJ<(XJJJ'X<(<0VV
1168 0111 4323 8296,JJ<(XJJJ'$0$(0V<
1168 0111 1727 2602,JJ<(XJJJJC0C0<X0
1168 0111 2363 5503,JJ<(XJJJ0$<$PPX$
1168 0110 7022 3832,JJ<(XJJXCX00$($0
1168 0111 4341 0259,JJ<(XJJJ'$'JX0PV
1168 0111 4968 5805,JJ<(XJJJ'V<(P(XP
1168 0111 1708 1888,JJ<(XJJJJCX(J(((
1168 0111 1782 8577,JJ<(XJJJJC(0(PCC
1168 0110 4216 4940,JJ<(XJJX'0J<'V'X
1168 0111 2936 1922,JJ<(XJJJ0V$<JV00
1168 0111 1043 3060,JJ<(XJJJJX'$$X<X
1168 0111 0872 8216,JJ<(XJJJX(C0(0J<
1168 0111 4074 8388,JJ<(XJJJ'XC'($((
1168 0111 4982 1095,JJ<(XJJJ'V(0JXVP
1168 0110 8688 8958,JJ<(XJJX(<(((VP(
1168 0110 8389 9958,JJ<(XJJX($(VVVP(
1168 0110 6455 8029,JJ<(XJJX<'PP(X0V
